YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2014,2014,AR,Arkansas,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,916,916,,,,,Gender,Male,,,,,POINT (-92.27449074299966 34.74865012400045),,5,AST,AST3_1,NMBR,GENDER,GENM,,,,
2018,2018,CO,Colorado,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,2227,2227,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,8,AST,AST3_1,NMBR,OVERALL,OVR,,,,
2018,2018,DC,District of Columbia,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,708,708,,,,,Overall,Overall,,,,,POINT (-77.036871 38.907192),,11,AST,AST3_1,NMBR,OVERALL,OVR,,,,
2017,2017,GA,Georgia,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,3520,3520,,,,,Gender,Female,,,,,POINT (-83.62758034599966 32.83968109300048),,13,AST,AST3_1,NMBR,GENDER,GENF,,,,
2010,2010,MI,Michigan,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,123,123,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST3_1,NMBR,RACE,HIS,,,,
2015,2015,MT,Montana,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,POINT (-109.42442064499971 47.06652897200047),,30,AST,AST3_1,NMBR,RACE,HIS,,,,
2013,2013,OR,Oregon,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,760,760,,,,,Gender,Male,,,,,POINT (-120.15503132599969 44.56744942400047),,41,AST,AST3_1,NMBR,GENDER,GENM,,,,
2013,2013,PR,Puerto Rico,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Overall,Overall,,,,,POINT (-66.590149 18.220833),,72,AST,AST3_1,NMBR,OVERALL,OVR,,,,
2017,2017,PR,Puerto Rico,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Overall,Overall,,,,,POINT (-66.590149 18.220833),,72,AST,AST3_1,NMBR,OVERALL,OVR,,,,
2010,2010,WI,Wisconsin,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,1967,1967,,,,,Gender,Male,,,,,POINT (-89.81637074199966 44.39319117400049),,55,AST,AST3_1,NMBR,GENDER,GENM,,,,
2016,2016,WI,Wisconsin,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,110,110,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-89.81637074199966 44.39319117400049),,55,AST,AST3_1,NMBR,RACE,HIS,,,,
2014,2014,AL,Alabama,NVSS,Asthma,Asthma mortality rate,,,Number,22,22,,,,,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST4_1,NMBR,GENDER,GENM,,,,
2015,2015,ID,Idaho,NVSS,Asthma,Asthma mortality rate,,,Number,21,21,,,,,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),,16,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2016,2016,ID,Idaho,NVSS,Asthma,Asthma mortality rate,,,Number,21,21,,,,,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),,16,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2020,2020,IL,Illinois,NVSS,Asthma,Asthma mortality rate,,Number,Number,89,89,,,,,Gender,Male,,,,,POINT (-88.99771017799969 40.48501028300046),,17,AST,AST4_1,NMBR,GENDER,GENM,,,,
2012,2012,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,,Number,24,24,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,NMBR,RACE,WHT,,,,
2015,2015,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,,Number,29,29,,,,,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2018,2018,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,Number,Number,29,29,,,,,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2017,2017,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,,,Number,21,21,,,,,Gender,Male,,,,,POINT (-92.44568007099969 31.31266064400046),,22,AST,AST4_1,NMBR,GENDER,GENM,,,,
2017,2017,MA,Massachusetts,NVSS,Asthma,Asthma mortality rate,,,Number,28,28,,,,,Gender,Male,,,,,POINT (-72.08269067499964 42.27687047000046),,25,AST,AST4_1,NMBR,GENDER,GENM,,,,
2010,2010,MD,Maryland,NVSS,Asthma,Asthma mortality rate,,,Number,71,71,,,,,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),,24,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2014,2014,MD,Maryland,NVSS,Asthma,Asthma mortality rate,,,Number,58,58,,,,,Gender,Female,,,,,POINT (-76.60926011099963 39.29058096400047),,24,AST,AST4_1,NMBR,GENDER,GENF,,,,
2010,2010,MN,Minnesota,NVSS,Asthma,Asthma mortality rate,,,Number,73,73,,,,,Overall,Overall,,,,,POINT (-94.79420050299967 46.35564873600049),,27,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2019,2019,MS,Mississippi,NVSS,Asthma,Asthma mortality rate,,Number,Number,58,58,,,,,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),,28,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2014,2014,NC,North Carolina,NVSS,Asthma,Asthma mortality rate,,,Number,39,39,,,,,Gender,Male,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST4_1,NMBR,GENDER,GENM,,,,
2020,2020,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,,Number,Number,26,26,,,,,Gender,Female,,,,,POINT (-106.24058098499967 34.52088095200048),,35,AST,AST4_1,NMBR,GENDER,GENF,,,,
2010,2010,TX,Texas,NVSS,Asthma,Asthma mortality rate,,,Number,111,111,,,,,Gender,Female,,,,,POINT (-99.42677020599967 31.827240407000488),,48,AST,AST4_1,NMBR,GENDER,GENF,,,,
2011,2011,TX,Texas,NVSS,Asthma,Asthma mortality rate,,,Number,24,24,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-99.42677020599967 31.827240407000488),,48,AST,AST4_1,NMBR,RACE,HIS,,,,
2016,2016,TX,Texas,NVSS,Asthma,Asthma mortality rate,,,Number,66,66,,,,,Gender,Male,,,,,POINT (-99.42677020599967 31.827240407000488),,48,AST,AST4_1,NMBR,GENDER,GENM,,,,
2008,2012,NY,New York,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",,,Average Annual Number,329,329,,,,,Gender,Male,,,,,POINT (-75.54397042699964 42.82700103200045),,36,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM,,,,
2009,2013,NY,New York,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",,,Average Annual Number,336,336,,,,,Gender,Male,,,,,POINT (-75.54397042699964 42.82700103200045),,36,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM,,,,
2011,2015,NY,New York,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",,,Average Annual Number,344,344,,,,,Gender,Male,,,,,POINT (-75.54397042699964 42.82700103200045),,36,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM,,,,
2012,2016,NY,New York,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",,,Average Annual Number,354,354,,,,,Gender,Male,,,,,POINT (-75.54397042699964 42.82700103200045),,36,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM,,,,
2012,2016,CO,Colorado,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,454,454,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,8,CAN,CAN11_2,AVGANNNMBR,OVERALL,OVR,,,,
2013,2017,CO,Colorado,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,470,470,,,,,Gender,Male,,,,,POINT (-106.13361092099967 38.843840757000464),,8,CAN,CAN11_2,AVGANNNMBR,GENDER,GENM,,,,
